# timestamp,step,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.0022,0,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.0348,1,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.0683,2,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.1016,3,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.1351,4,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.1683,5,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.2022,6,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.2355,7,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.2687,8,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.3021,9,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.3358,10,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.3698,11,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.4023,12,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.4362,13,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.4695,14,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.5028,15,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.5364,16,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.5692,17,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.6031,18,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.6365,19,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.6702,20,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.7031,21,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.7368,22,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.7700,23,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.8036,24,0.1163,-98.7603,24.1753,-87.5994,-2.8067,1.5430
0.8372,25,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
0.8705,26,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
0.9042,27,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
0.9369,28,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
0.9708,29,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
1.0041,30,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
1.0374,31,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
1.0710,32,0.1163,-98.7603,24.1753,-87.5994,-3.0665,1.5430
1.1041,33,0.1163,-98.7603,24.1753,-87.5994,-3.1185,1.5430
1.1377,34,0.1163,-98.7603,24.1753,-87.5994,-3.0665,1.5430
1.1713,35,0.1163,-98.7603,24.1753,-87.5994,-2.9626,1.5430
1.2048,36,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
1.2378,37,0.1163,-98.7603,24.1753,-87.5994,-2.9106,1.5430
1.2717,38,0.0388,-98.7603,24.1753,-87.6055,-2.8067,1.5430
1.3052,39,-0.1163,-98.6777,24.1753,-87.6055,-2.7547,1.5430
1.3384,40,-0.1939,-98.4298,24.1753,-87.6055,-2.7027,1.5430
1.3719,41,-0.1939,-98.2645,24.1753,-87.6115,-2.7027,1.5430
1.4051,42,-0.2714,-97.7686,24.1753,-87.6176,-2.6507,1.5430
1.4388,43,-0.2714,-96.6116,23.9042,-87.6176,-2.6507,1.5430
1.4721,44,-0.3490,-95.1240,23.6331,-87.6418,-2.6507,1.5430
1.5056,45,-0.3490,-93.4711,23.5427,-87.7083,-2.6507,1.5430
1.5389,46,-0.3490,-91.9008,23.3620,-87.8232,-2.6507,1.5430
1.5728,47,-0.3490,-90.4959,22.8197,-87.9624,-2.5468,1.5430
1.6059,48,-0.3490,-88.6777,22.1871,-88.1197,-2.1310,1.5430
1.6391,49,-0.3490,-86.5289,21.5545,-88.2709,-1.4033,1.5430
1.6728,50,-0.3490,-84.1322,20.7411,-88.4342,-0.4678,1.5430
1.7061,51,-0.1939,-81.7355,20.0181,-88.5915,0.5717,1.5430
1.7396,52,-0.0388,-79.0083,19.2951,-88.7246,1.7672,1.5430
1.7728,53,-0.0388,-76.5289,18.6624,-88.8637,3.1185,1.5430
1.8065,54,0.0388,-74.4628,18.0298,-89.0028,4.6258,1.5430
1.8399,55,0.0388,-72.3140,17.6683,-89.1601,6.0811,1.5430
1.8732,56,0.1163,-70.4132,17.6683,-89.3295,7.3805,1.5430
1.9067,57,0.1163,-68.5950,17.6683,-89.5049,8.7318,1.5430
1.9399,58,0.5816,-66.6116,17.6683,-89.6682,10.0312,1.5430
1.9737,59,1.6673,-64.6281,17.6683,-89.8255,11.0707,1.5430
2.0068,60,2.9857,-62.4793,17.6683,-90.0191,11.6944,1.5430
2.0406,61,4.4591,-60.0826,17.5779,-90.2126,12.0582,1.5430
2.0735,62,6.3978,-57.5207,17.2164,-90.3880,12.3701,1.5430
2.1074,63,8.5692,-54.6281,16.4934,-90.5332,12.7339,1.5430
2.1406,64,10.3528,-51.4876,15.2282,-90.6542,13.2536,1.5430
2.1741,65,11.9038,-48.3471,13.6918,-90.7510,13.8773,1.5430
2.2076,66,13.4548,-44.9587,11.6132,-90.7994,14.5530,1.5430
2.2413,67,15.0834,-41.6529,9.1731,-90.8296,15.1247,1.5430
2.2746,68,16.7895,-38.5124,6.5522,-90.8357,15.7484,1.5430
2.3079,69,18.2629,-35.2893,3.9313,-90.8417,16.5800,1.5430
2.3416,70,19.4261,-31.9008,1.1297,-90.8417,17.4636,1.5430
2.3745,71,20.5894,-28.4298,-1.7623,-90.8417,18.6590,1.5430
2.4082,72,21.7526,-25.2066,-4.4736,-90.8417,20.1663,1.5430
