# timestamp,step,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0.0021,0,-2.0551,-98.7603,24.4465,-87.5873,0.8316,1.7634
0.0347,1,-2.0551,-98.7603,24.4465,-87.5873,0.7796,1.7634
0.0682,2,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.1018,3,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.1351,4,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.1680,5,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.2021,6,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.2353,7,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.2689,8,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.3021,9,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.3358,10,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.3692,11,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.4024,12,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.4359,13,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.4693,14,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.5029,15,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.5361,16,-2.0551,-98.7603,24.4465,-87.5873,0.7277,1.7634
0.5696,17,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.6031,18,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.6364,19,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.6699,20,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.7029,21,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.7367,22,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.7701,23,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.8036,24,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.8371,25,-2.0551,-98.7603,24.3561,-87.5873,0.7277,1.7634
0.8700,26,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
0.9040,27,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
0.9374,28,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
0.9710,29,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
1.0040,30,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
1.0378,31,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
1.0711,32,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
1.1044,33,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
1.1380,34,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
1.1713,35,-2.0551,-98.7603,24.2657,-87.5873,0.7277,1.7634
1.2049,36,-2.0551,-98.7603,24.2657,-87.5873,0.6757,1.7634
1.2382,37,-2.0551,-98.7603,24.1753,-87.5873,0.6757,1.7634
1.2719,38,-2.0551,-98.7603,24.2657,-87.5873,0.6757,1.7634
1.3050,39,-2.0551,-98.7603,24.2657,-87.5873,0.6757,1.7634
1.3386,40,-2.0551,-98.7603,24.2657,-87.5873,0.6757,1.7634
1.3720,41,-2.0551,-98.7603,24.2657,-87.5873,0.8316,1.7634
1.4055,42,-2.0551,-98.7603,24.1753,-87.5873,0.8836,1.7634
1.4389,43,-2.2102,-98.5950,23.9946,-87.5934,0.9875,1.7634
1.4721,44,-2.2102,-98.4298,23.9946,-87.5994,1.0395,1.7634
1.5057,45,-2.2102,-98.2645,23.9946,-87.6236,1.0915,1.7634
1.5390,46,-2.2102,-97.6860,23.9946,-87.6599,1.1435,1.7634
1.5729,47,-2.2877,-96.6942,23.9042,-87.6962,1.1435,1.7634
1.6063,48,-2.3653,-95.4545,23.8138,-87.7688,1.1435,1.7634
1.6394,49,-2.3653,-93.8843,23.4523,-87.8656,1.1435,1.7634
1.6730,50,-2.3653,-91.5702,22.7293,-87.9684,1.1435,1.7634
1.7060,51,-2.3653,-88.9256,21.7352,-88.1136,1.1954,1.7634
1.7399,52,-2.3653,-86.1157,20.7411,-88.2709,1.1954,1.7634
1.7732,53,-2.3653,-82.6446,19.5662,-88.4282,1.2474,1.7634
1.8069,54,-2.4428,-78.9256,18.2106,-88.5854,1.7152,1.7634
1.8400,55,-2.4428,-74.9587,16.9453,-88.7306,2.5988,1.7634
1.8734,56,-2.4428,-71.4050,15.8608,-88.8818,3.6383,1.7634
1.9069,57,-2.5204,-67.8512,14.6859,-89.0210,4.5218,1.7634
1.9409,58,-2.5204,-64.5455,13.6918,-89.1661,5.4574,1.7634
1.9739,59,-2.5204,-61.4876,12.8784,-89.3113,6.3410,1.7634
2.0069,60,-2.5204,-58.4298,12.1554,-89.4444,7.1206,1.7634
2.0406,61,-2.5204,-55.4545,11.4324,-89.5896,7.8482,1.7634
2.0739,62,-2.5204,-52.4793,10.7998,-89.7347,8.3680,1.7634
2.1074,63,-2.5204,-49.3388,10.0768,-89.8618,8.8877,1.7634
2.1409,64,-2.5979,-46.2810,9.0827,-89.9707,9.3035,1.7634
2.1743,65,-2.9081,-43.0579,7.9982,-90.0735,9.8233,1.7634
2.2078,66,-3.6836,-40.3306,6.7329,-90.1582,10.6029,1.7634
2.2411,67,-4.3815,-37.4380,5.1966,-90.2005,11.3306,1.7634
2.2744,68,-5.2346,-34.4628,3.3891,-90.2308,12.1622,1.7634
2.3080,69,-6.3978,-31.7355,1.3104,-90.2489,12.8898,1.7634
2.3413,70,-7.4060,-28.7603,-0.7682,-90.2489,13.6175,1.7634
2.3747,71,-8.1815,-25.8678,-3.0276,-90.2489,14.2931,1.7634
2.4082,72,-8.8794,-22.8099,-5.5581,-90.2489,15.1247,1.7634
2.4418,73,-9.4223,-19.9174,-8.2693,-90.2489,15.9563,1.7634
2.4752,74,-9.8100,-16.5289,-11.3421,-90.2489,16.6840,1.7634
2.5087,75,-9.8876,-13.2231,-14.5956,-90.2489,17.5156,1.7634
2.5422,76,-10.0427,-10.1653,-17.8491,-90.2489,18.3472,1.7634
2.5754,77,-10.0427,-6.9421,-20.6507,-90.2489,19.3347,1.7634
2.6091,78,-10.0427,-4.0496,-23.3620,-90.2489,20.4262,1.7634
2.6422,79,-10.0427,-1.4050,-25.7117,-90.2489,21.6216,1.7634
2.6754,80,-10.0427,0.8264,-27.6096,-90.2489,23.0769,1.7634
2.7092,81,-10.0427,3.0579,-29.1460,-90.2489,24.7401,1.7634
2.7427,82,-10.0427,4.9587,-30.4112,-90.2489,26.6632,1.7634
2.7760,83,-10.0427,6.5289,-30.9535,-90.2489,28.6383,1.7634
2.8092,84,-10.0427,7.8512,-31.3150,-90.2489,30.8212,1.7634
2.8430,85,-10.1202,9.2562,-31.6765,-90.2489,33.0561,1.7634
2.8763,86,-10.1202,10.5785,-31.6765,-90.2489,35.3950,1.7634
2.9098,87,-10.1202,11.8182,-32.0380,-90.2489,37.4740,1.7634
2.9431,88,-10.1202,13.3058,-32.4898,-90.2671,39.0852,1.7634
2.9766,89,-10.1202,14.7107,-33.0321,-90.3155,40.3326,1.7634
3.0098,90,-10.1202,15.8678,-33.6647,-90.3699,41.2682,1.7634
3.0433,91,-10.1202,17.1901,-34.2973,-90.4243,41.9439,1.7634
3.0766,92,-10.1202,18.3471,-34.6588,-90.4485,42.6195,1.7634
3.1101,93,-10.1202,19.2562,-34.7492,-90.4485,43.5551,1.7634
3.1437,94,-10.1202,20.0826,-34.7492,-90.4546,44.6466,1.7634
3.1771,95,-10.1202,20.9091,-34.7492,-90.4546,45.5821,1.7634
3.2102,96,-10.1202,21.8182,-34.8396,-90.4546,46.4657,1.7634
3.2438,97,-10.3528,22.6446,-34.9300,-90.4606,47.0894,1.7634
3.2773,98,-10.8181,23.3884,-34.9300,-90.4606,47.6091,1.7634
3.3109,99,-11.1283,24.1322,-34.9300,-90.4606,47.9210,1.7634
3.3441,100,-11.5936,24.8760,-34.9300,-90.4667,47.9730,1.7634
3.3776,101,-11.9814,25.5372,-34.9300,-90.4667,47.9730,1.7634
3.4111,102,-12.4467,26.3636,-34.9300,-90.4667,47.9730,1.7634
3.4445,103,-12.8344,27.1901,-34.9300,-90.4667,48.0249,1.7634
3.4781,104,-13.1446,28.0165,-34.9300,-90.4667,48.0249,1.7634
3.5111,105,-13.6875,28.9256,-34.9300,-90.4667,48.0249,1.7634
3.5449,106,-14.0752,29.9174,-34.9300,-90.4667,48.0249,1.7634
3.5781,107,-14.4630,30.8264,-34.9300,-90.4667,48.1809,1.7634
3.6118,108,-15.0058,31.8182,-34.9300,-90.4667,48.6486,1.7634
3.6451,109,-15.1609,32.7273,-34.9300,-90.4667,49.1164,1.7634
3.6785,110,-15.5487,33.7190,-34.9300,-90.4667,49.6362,1.7634
3.7117,111,-15.7038,34.5455,-34.9300,-90.4606,50.2079,1.7634
